Techstack,Links
"React, Node.js, MongoDB",https://techaj.com/react-portfolio
"Angular,.NET, SQL Server",https://techaj.com/angular-portfolio
"Vue.js, Ruby on Rails, PostgreSQL",https://techaj.com/vue-portfolio
"Python, Django, MySQL",https://techaj.com/python-portfolio
"Java, Spring Boot, Oracle",https://techaj.com/java-portfolio
"Flutter, Firebase, GraphQL",https://techaj.com/flutter-portfolio
"WordPress, PHP, MySQL",https://techaj.com/wordpress-portfolio
"Magento, PHP, MySQL",https://techaj.com/magento-portfolio
"React Native, Node.js, MongoDB",https://techaj.com/react-native-portfolio
"iOS, Swift, Core Data",https://techaj.com/ios-portfolio
"Android, Java, Room Persistence",https://techaj.com/android-portfolio
"Kotlin, Android, Firebase",https://techaj.com/kotlin-android-portfolio
"Android TV, Kotlin, Android NDK",https://techaj.com/android-tv-portfolio
"iOS, Swift, ARKit",https://techaj.com/ios-ar-portfolio
"Cross-platform, Xamarin, Azure",https://techaj.com/xamarin-portfolio
"Backend, Kotlin, Spring Boot",https://techaj.com/kotlin-backend-portfolio
"Frontend, TypeScript, Angular",https://techaj.com/typescript-frontend-portfolio
"Full-stack, JavaScript, Express.js",https://techaj.com/full-stack-js-portfolio
"Machine Learning, Python, TensorFlow",https://techaj.com/ml-python-portfolio
"DevOps, Jenkins, Docker",https://techaj.com/devops-portfolio
